valor1,valor2,valor3,valor4,valor5,valor6,valor7,monto,no pago
A,jojo,U,U,7,r,7,21,0
S,sergio,Y,Y,77,t,77,42,0
S,sergio,Y,Y,56,y,56,28,0
S,sergio,Y,Y,54,u,54,14,0
A,sergio,Y,Y,34,i,34,31,0
A,sergio,T,T,32,o,32,67,0
S,pepe,T,T,14,p,14,8,0
A,jojo,T,T,16,l,16,5,0
S,pepe,T,T,18,k,18,4,0
A,sergio,T,T,19,j,19,5,0
S,sergio,U,U,1,h,1,44,0
S,jojo,U,U,2,g,2,32,0
S,pepe,U,U,3,f,3,67,0
S,sergio,U,U,4,d,4,88,0
A,pepe,U,U,5,s,5,93,0
A,sergio,Y,Y,6,a,6,34,0
A,jojo,T,T,7,z,7,45,0
A,sergio,Y,Y,6,x,6,5,0
A,sergio,U,U,5,c,5,76,0
S,sergio,Y,Y,4,v,4,30,0
A,jojo,U,U,3,b,3,4,0
S,sergio,Y,Y,2,n,2,34,0
A,pepe,T,T,1,q,1,10,0
A,jojo,U,U,2,w,2,21,0
S,jojo,T,T,3,e,3,72,0
S,sergio,T,T,4,r,4,35,0
S,sergio,U,U,5,t,5,42,0
S,sergio,U,U,6,y,6,28,0
S,sergio,U,U,7,u,7,14,0
A,sergio,U,U,8,i,8,31,0
A,sergio,U,U,9,o,9,67,0
S,pepe,U,U,0,p,0,8,0
A,jojo,Y,Y,9,l,9,5,0
S,pepe,T,T,12,k,12,4,0
A,sergio,Y,Y,11,j,11,5,0
S,sergio,U,U,23,h,23,44,0
S,jojo,Y,Y,21,g,21,32,0
S,pepe,T,T,2,f,2,67,0
S,sergio,Y,Y,21,d,21,88,0
A,pepe,U,U,54,s,54,93,0
A,sergio,U,U,56,a,56,34,0
A,jojo,Y,Y,76,z,76,45,0
A,sergio,T,T,78,x,78,5,0
A,sergio,Y,Y,98,c,98,76,0
S,sergio,Y,Y,76,v,76,30,0
A,jojo,U,U,54,b,54,4,0
S,sergio,Y,Y,32,n,32,34,0
A,pepe,T,T,34,q,34,10,0
A,jojo,U,U,56,w,56,21,0
S,sergio,Y,Y,7,e,7,42,0
S,sergio,Y,Y,8,r,8,28,0
S,sergio,Y,Y,9,t,9,14,0
A,sergio,Y,Y,8,y,8,31,0
A,sergio,T,T,7,u,7,67,0
S,pepe,T,T,6,i,6,8,0
A,jojo,T,T,5,o,5,5,0
S,pepe,T,T,4,p,4,4,0
A,sergio,T,T,3,l,3,5,0
S,sergio,U,U,2,k,2,44,0
S,jojo,U,U,1,j,1,32,0
S,pepe,U,U,2,h,2,67,0
S,sergio,U,U,3,g,3,88,0
A,pepe,U,U,4,f,4,93,0
A,sergio,Y,Y,5,d,5,34,0
A,jojo,T,T,6,s,6,45,0
A,sergio,Y,Y,7,a,7,5,0
A,sergio,U,U,7,z,7,76,0
S,sergio,Y,Y,77,x,77,30,0
A,jojo,U,U,56,c,56,4,0
S,sergio,Y,Y,54,v,54,34,0
A,pepe,T,T,34,b,34,10,0
A,jojo,U,U,32,n,32,21,0
S,jojo,T,T,14,q,14,72,0
S,sergio,T,T,16,w,16,35,0
S,sergio,U,U,18,e,18,42,0
S,sergio,U,U,19,r,19,28,0
S,sergio,U,U,43,t,43,14,0
A,sergio,U,U,1,y,1,31,0
A,sergio,U,U,2,u,2,67,0
S,pepe,U,U,3,i,3,8,0
A,jojo,Y,Y,4,o,4,5,0
S,pepe,T,T,5,p,5,4,0
A,sergio,Y,Y,6,l,6,5,0
S,sergio,U,U,7,k,7,44,0
S,jojo,Y,Y,6,j,6,32,0
S,pepe,T,T,5,h,5,67,0
S,sergio,Y,Y,4,g,4,88,0
A,pepe,U,U,3,f,3,93,0
A,sergio,U,U,2,d,2,34,0
A,jojo,Y,Y,1,s,1,45,0
A,sergio,T,T,2,a,2,5,0
A,sergio,Y,Y,3,z,3,76,0
S,sergio,Y,Y,4,x,4,30,0
A,jojo,U,U,5,c,5,4,0
S,sergio,Y,Y,6,v,6,34,0
A,pepe,T,T,7,b,7,10,0
A,jojo,U,U,8,n,8,21,0
S,sergio,Y,Y,9,q,9,42,0
S,sergio,Y,Y,0,w,0,28,0
S,sergio,Y,Y,9,e,9,14,0
A,sergio,Y,Y,12,r,12,31,0
A,sergio,T,T,11,t,11,67,0
S,pepe,T,T,23,y,23,8,0
A,jojo,T,T,21,u,21,5,0
S,pepe,T,T,2,i,2,4,0
A,sergio,T,T,21,o,21,5,0
S,sergio,U,U,54,p,54,44,0
S,jojo,U,U,56,l,56,32,0
S,pepe,U,U,76,k,76,67,0
S,sergio,U,U,78,j,78,88,0
A,pepe,U,U,98,h,98,93,0
A,sergio,Y,Y,76,g,76,34,0
A,jojo,T,T,54,f,54,45,0
A,sergio,Y,Y,32,d,32,5,0
A,sergio,U,U,34,s,34,76,0
S,sergio,Y,Y,56,a,56,30,0
A,jojo,U,U,7,z,7,4,0
S,sergio,Y,Y,8,x,8,34,0
A,pepe,T,T,9,c,9,10,0
A,jojo,U,U,8,v,8,21,0
S,jojo,T,T,7,b,7,72,0
S,sergio,T,T,6,n,6,35,0
S,sergio,U,U,5,q,5,42,0
S,sergio,U,U,4,w,4,28,0
S,sergio,U,U,3,e,3,14,0
A,sergio,U,U,2,r,2,31,0
A,sergio,U,U,1,t,1,67,0
S,pepe,U,U,2,y,2,8,0
A,jojo,Y,Y,3,u,3,5,0
S,pepe,T,T,4,i,4,4,0
A,sergio,Y,Y,5,o,5,5,0
S,sergio,U,U,6,p,6,44,0
S,jojo,Y,Y,7,l,7,32,0
S,pepe,T,T,7,k,7,67,0
S,sergio,Y,Y,77,j,77,88,0
A,pepe,U,U,56,h,56,93,0
A,sergio,U,U,54,g,54,34,0
A,jojo,Y,Y,34,f,34,45,0
A,sergio,T,T,32,d,32,5,0
A,sergio,Y,Y,14,s,14,76,0
S,sergio,Y,Y,16,a,16,30,0
A,jojo,U,U,18,z,18,4,0
S,sergio,Y,Y,19,x,19,34,0
A,pepe,T,T,1,c,1,10,0
A,jojo,U,U,2,v,2,21,0
S,sergio,Y,Y,3,b,3,42,0
S,sergio,Y,Y,4,n,4,28,0
S,sergio,Y,Y,5,q,5,14,0
A,sergio,Y,Y,6,w,6,31,0
A,sergio,T,T,7,e,7,67,0
S,pepe,T,T,6,r,6,8,0
A,jojo,T,T,5,t,5,5,0
S,pepe,T,T,4,y,4,4,0
A,sergio,T,T,3,u,3,5,0
S,sergio,U,U,2,i,2,44,0
S,jojo,U,U,1,o,1,32,0
S,pepe,U,U,2,p,2,67,0
S,sergio,U,U,3,l,3,88,0
A,pepe,U,U,4,k,4,93,0
A,sergio,Y,Y,5,j,5,34,0
A,jojo,T,T,6,h,6,45,0
A,sergio,Y,Y,7,g,7,5,0
A,sergio,U,U,8,f,8,76,0
S,sergio,Y,Y,9,d,9,30,0
A,jojo,U,U,0,s,0,4,0
S,sergio,Y,Y,9,a,9,34,0
A,pepe,T,T,12,z,12,10,0
A,jojo,U,U,11,x,11,21,0
S,jojo,T,T,23,c,23,72,0
S,sergio,T,T,21,v,21,35,0
S,sergio,U,U,2,b,2,42,0
S,sergio,U,U,21,n,21,28,0
S,sergio,U,U,54,q,54,14,0
A,sergio,U,U,56,w,56,31,0
A,sergio,U,U,76,e,76,67,0
S,pepe,U,U,78,r,78,8,0
A,jojo,Y,Y,98,t,98,5,0
S,pepe,T,T,76,y,76,4,0
A,sergio,Y,Y,54,u,54,5,0
S,sergio,U,U,32,i,32,44,0
S,jojo,Y,Y,34,o,34,32,0
S,pepe,T,T,56,p,56,67,0
S,sergio,Y,Y,7,l,7,88,0
A,pepe,U,U,8,k,8,93,0
A,sergio,U,U,9,j,9,34,0
A,jojo,Y,Y,8,h,8,45,0
A,sergio,T,T,7,g,7,5,0
A,sergio,Y,Y,6,f,6,76,0
S,sergio,Y,Y,5,d,5,30,0
A,jojo,U,U,4,s,4,4,0
S,sergio,Y,Y,3,a,3,34,0
A,pepe,T,T,2,z,2,10,0
A,jojo,U,U,1,x,1,21,0
S,sergio,Y,Y,2,c,2,42,0
S,sergio,Y,Y,3,v,3,28,0
S,sergio,Y,Y,4,b,4,14,0
A,sergio,Y,Y,5,n,5,31,0
A,sergio,T,T,6,q,6,67,0
S,pepe,T,T,7,w,7,8,0
A,jojo,T,T,7,e,7,5,0
S,pepe,T,T,77,r,77,4,0
A,sergio,T,T,56,t,56,5,0
S,sergio,U,U,54,y,54,44,0
S,jojo,U,U,34,u,34,32,0
S,pepe,U,U,32,i,32,67,0
S,sergio,U,U,14,o,14,88,0
A,pepe,U,U,16,p,16,93,0
A,sergio,Y,Y,18,l,18,34,0
A,jojo,T,T,19,k,19,45,0
A,sergio,Y,Y,1,j,1,5,0
A,sergio,U,U,2,h,2,76,0
S,sergio,Y,Y,3,g,3,30,0
A,jojo,U,U,4,f,4,4,0
S,sergio,Y,Y,5,d,5,34,0
A,pepe,T,T,6,s,6,10,0
A,jojo,U,U,7,a,7,21,0
S,jojo,T,T,6,z,6,72,0
S,sergio,T,T,5,x,5,35,0
S,sergio,U,U,4,c,4,42,0
S,sergio,U,U,3,v,3,28,0
S,sergio,U,U,2,b,2,14,0
A,sergio,U,U,1,n,1,31,0
A,sergio,U,U,2,q,2,67,0
S,pepe,U,U,3,w,3,8,0
A,jojo,Y,Y,4,e,4,5,0
S,pepe,T,T,5,r,5,4,0
A,sergio,Y,Y,6,t,6,5,0
S,sergio,U,U,7,y,7,44,0
S,jojo,Y,Y,8,u,8,32,0
S,pepe,T,T,9,i,9,67,0
S,sergio,Y,Y,0,o,0,88,0
A,pepe,U,U,9,p,9,93,0
A,sergio,U,U,12,l,12,34,0
A,jojo,Y,Y,11,k,11,45,0
A,sergio,T,T,23,j,23,5,0
A,sergio,Y,Y,21,h,21,76,0
S,sergio,Y,Y,2,g,2,30,0
A,jojo,U,U,21,f,21,4,0
S,sergio,Y,Y,54,d,54,34,0
A,pepe,T,T,56,s,56,10,0
A,jojo,U,U,76,a,76,21,0
S,sergio,Y,Y,78,z,78,42,0
S,sergio,Y,Y,98,x,98,28,0
S,sergio,Y,Y,76,c,76,14,0
A,sergio,Y,Y,54,v,54,31,0
A,sergio,T,T,32,b,32,67,0
S,pepe,T,T,34,n,34,8,0
A,jojo,T,T,56,q,56,5,0
S,pepe,T,T,7,w,7,4,0
A,sergio,T,T,8,e,8,5,0
S,sergio,U,U,9,r,9,44,0
S,jojo,U,U,8,t,8,32,0
S,pepe,U,U,7,y,7,67,0
S,sergio,U,U,6,u,6,88,0
A,pepe,U,U,5,i,5,93,0
A,sergio,Y,Y,4,o,4,34,0
A,jojo,T,T,3,p,3,45,0
A,sergio,Y,Y,2,l,2,5,0
A,sergio,U,U,1,k,1,76,0
S,sergio,Y,Y,2,j,2,30,0
A,jojo,U,U,3,h,3,4,0
S,sergio,Y,Y,4,g,4,34,0
A,pepe,T,T,5,f,5,10,0
A,jojo,U,U,6,d,6,21,0
S,jojo,T,T,7,s,7,72,0
S,sergio,T,T,7,a,7,35,0
S,sergio,U,U,77,z,77,42,0
S,sergio,U,U,56,x,56,28,0
S,sergio,U,U,54,c,54,14,0
A,sergio,U,U,34,v,34,31,0
A,sergio,U,U,32,b,32,67,0
S,pepe,U,U,14,n,14,8,0
A,jojo,Y,Y,16,q,16,5,0
S,pepe,T,T,18,w,18,4,0
A,sergio,Y,Y,19,e,19,5,0
S,sergio,U,U,1,r,1,44,0
S,jojo,Y,Y,2,t,2,32,0
S,pepe,T,T,3,y,3,67,0
S,sergio,Y,Y,4,u,4,88,0
A,pepe,U,U,5,i,5,93,0
A,sergio,U,U,6,o,6,34,0
A,jojo,Y,Y,7,p,7,45,0
A,sergio,T,T,6,l,6,5,0
A,sergio,Y,Y,5,k,5,76,0
S,sergio,Y,Y,4,j,4,30,0
A,jojo,U,U,3,h,3,4,0
S,sergio,Y,Y,2,g,2,34,0
A,pepe,T,T,1,f,1,10,0
A,jojo,U,U,2,d,2,21,0
S,sergio,Y,Y,3,s,3,42,0
S,sergio,Y,Y,4,a,4,28,0
S,sergio,Y,Y,5,z,5,14,0
A,sergio,Y,Y,6,x,6,31,0
A,sergio,T,T,7,c,7,67,0
S,pepe,T,T,8,v,8,8,0
A,jojo,T,T,9,b,9,5,0
S,pepe,T,T,0,n,0,4,0
A,sergio,T,T,9,m,9,5,0
S,sergio,U,U,12,q,12,44,0
S,jojo,U,U,11,w,11,32,0
S,pepe,U,U,23,e,23,67,0
S,sergio,U,U,21,r,21,88,0
A,pepe,U,U,2,t,2,93,0
A,sergio,Y,Y,21,y,21,34,0
A,jojo,T,T,54,u,54,45,0
A,sergio,Y,Y,56,i,56,5,0
A,sergio,U,U,76,o,76,76,0
S,sergio,Y,Y,78,p,78,30,0
A,jojo,U,U,98,l,98,4,0
S,sergio,Y,Y,76,k,76,34,0
A,pepe,T,T,54,j,54,10,0
A,jojo,U,U,32,h,32,21,0
S,jojo,T,T,34,g,34,72,0
S,sergio,T,T,56,f,56,35,0
S,sergio,U,U,7,d,7,42,0
S,sergio,U,U,8,s,8,28,0
S,sergio,U,U,9,a,9,14,0
A,sergio,U,U,8,z,8,31,0
A,sergio,U,U,7,x,7,67,0
S,pepe,U,U,6,c,6,8,0
A,jojo,Y,Y,5,v,5,5,0
S,pepe,T,T,4,b,4,4,0
A,sergio,Y,Y,3,n,3,5,0
S,sergio,U,U,2,m,2,44,0
S,jojo,Y,Y,1,q,1,32,0
S,pepe,T,T,2,w,2,67,0
S,sergio,Y,Y,3,e,3,88,0
A,pepe,U,U,4,r,4,93,0
A,sergio,U,U,5,t,5,34,0
A,jojo,Y,Y,6,y,6,45,0
A,sergio,T,T,7,u,7,5,0
A,sergio,Y,Y,7,i,7,76,0
S,sergio,Y,Y,77,o,77,30,0
A,jojo,U,U,56,p,56,4,0
S,sergio,Y,Y,54,l,54,34,0
A,pepe,T,T,34,k,34,10,0
A,jojo,U,U,32,j,32,21,0
S,sergio,Y,Y,14,h,14,42,0
S,sergio,Y,Y,16,g,16,28,0
S,sergio,Y,Y,18,f,18,14,0
A,sergio,Y,Y,19,d,19,31,0
A,sergio,T,T,1,s,1,67,0
S,pepe,T,T,2,a,2,8,0
A,jojo,T,T,3,z,3,5,0
S,pepe,T,T,4,x,4,4,0
A,sergio,T,T,5,c,5,5,0
S,sergio,U,U,6,v,6,44,0
S,jojo,U,U,7,b,7,32,0
S,pepe,U,U,6,n,6,67,0
S,sergio,U,U,5,q,5,88,0
A,pepe,U,U,4,w,4,93,0
A,sergio,Y,Y,3,e,3,34,0
A,jojo,T,T,2,r,2,45,0
A,sergio,Y,Y,1,t,1,5,0
A,sergio,U,U,2,y,2,76,0
S,sergio,Y,Y,3,u,3,30,0
A,jojo,U,U,4,i,4,4,0
S,sergio,Y,Y,5,o,5,34,0
A,pepe,T,T,6,p,6,10,0
A,jojo,U,U,7,l,7,21,0
S,jojo,T,T,8,k,8,72,0
S,sergio,T,T,9,j,9,35,0
S,sergio,U,U,0,h,0,42,0
S,sergio,U,U,9,g,9,28,0
S,sergio,U,U,12,f,12,14,0
A,sergio,U,U,11,d,11,31,0
A,sergio,U,U,23,s,23,67,0
S,pepe,U,U,21,a,21,8,0
A,jojo,Y,Y,2,z,2,5,0
S,pepe,T,T,21,x,21,4,0
A,sergio,Y,Y,54,c,54,5,0
S,sergio,U,U,56,v,56,44,0
S,jojo,Y,Y,76,b,76,32,0
S,pepe,T,T,78,n,78,67,0
S,sergio,Y,Y,98,q,98,88,0
A,pepe,U,U,76,w,76,93,0
A,sergio,U,U,54,e,54,34,0
A,jojo,Y,Y,32,r,32,45,0
A,sergio,T,T,34,t,34,5,0
A,sergio,Y,Y,56,y,56,76,0
S,sergio,Y,Y,7,u,7,30,0
A,jojo,U,U,8,i,8,4,0
S,sergio,Y,Y,9,o,9,34,0
A,pepe,T,T,8,p,8,10,0
A,jojo,U,U,7,l,7,21,0
S,sergio,Y,Y,6,k,6,42,0
S,sergio,Y,Y,5,j,5,28,0
S,sergio,Y,Y,4,h,4,14,0
A,sergio,Y,Y,3,g,3,31,0
A,sergio,T,T,2,f,2,67,0
S,pepe,T,T,1,d,1,8,0
A,jojo,T,T,2,s,2,5,0
S,pepe,T,T,3,a,3,4,0
A,sergio,T,T,4,z,4,5,0
S,sergio,U,U,5,x,5,44,0
S,jojo,U,U,6,c,6,32,0
S,pepe,U,U,7,v,7,67,0
S,sergio,U,U,7,b,7,88,0
A,pepe,U,U,77,n,77,93,0
A,sergio,Y,Y,56,q,56,34,0
A,jojo,T,T,54,w,54,45,0
A,sergio,Y,Y,34,e,34,5,0
A,sergio,U,U,32,r,32,76,0
S,sergio,Y,Y,14,t,14,30,0
A,jojo,U,U,16,y,16,4,0
S,sergio,Y,Y,18,u,18,34,0
A,pepe,T,T,19,i,19,10,0
A,jojo,U,U,1,o,1,21,0
S,jojo,T,T,2,p,2,72,0
S,sergio,T,T,3,l,3,35,0
S,sergio,U,U,4,k,4,42,0
S,sergio,U,U,5,j,5,28,0
S,sergio,U,U,6,h,6,14,0
A,sergio,U,U,7,g,7,31,0
A,sergio,U,U,6,f,6,67,0
S,pepe,U,U,5,d,5,8,0
A,jojo,Y,Y,4,s,4,5,0
S,pepe,T,T,3,a,3,4,0
A,sergio,Y,Y,2,z,2,5,0
S,sergio,U,U,1,x,1,44,0
S,jojo,Y,Y,2,c,2,32,0
S,pepe,T,T,3,v,3,67,0
S,sergio,Y,Y,4,b,4,88,0
A,pepe,U,U,5,n,5,93,0
A,sergio,U,U,6,q,6,34,0
A,jojo,Y,Y,7,w,7,45,0
A,sergio,T,T,8,e,8,5,0
A,sergio,Y,Y,9,r,9,76,0
S,sergio,Y,Y,0,t,0,30,0
A,jojo,U,U,9,y,9,4,0
S,sergio,Y,Y,12,u,12,34,0
A,pepe,T,T,11,i,11,10,0
A,jojo,U,U,23,o,23,21,0
S,sergio,Y,Y,21,p,21,42,0
S,sergio,Y,Y,2,l,2,28,0
S,sergio,Y,Y,21,k,21,14,0
A,sergio,Y,Y,54,j,54,31,0
A,sergio,T,T,56,h,56,67,0
S,pepe,T,T,76,g,76,8,0
A,jojo,T,T,78,f,78,5,0
S,pepe,T,T,98,d,98,4,0
A,sergio,T,T,76,s,76,5,0
S,sergio,U,U,54,a,54,44,0
S,jojo,U,U,32,z,32,32,0
S,pepe,U,U,34,x,34,67,0
S,sergio,U,U,56,c,56,88,0
A,pepe,U,U,7,v,7,93,0
A,sergio,Y,Y,8,b,8,34,0
A,jojo,T,T,9,n,9,45,0
A,sergio,Y,Y,8,q,8,5,0
A,sergio,U,U,7,w,7,76,0
S,sergio,Y,Y,6,e,6,30,0
A,jojo,U,U,5,r,5,4,0
S,sergio,Y,Y,4,t,4,34,0
A,pepe,T,T,3,y,3,10,0
A,jojo,U,U,2,u,2,21,0
S,jojo,T,T,1,i,1,72,0
S,sergio,T,T,2,o,2,35,0
S,sergio,U,U,3,p,3,42,0
S,sergio,U,U,4,l,4,28,0
S,sergio,U,U,5,k,5,14,0
A,sergio,U,U,6,j,6,31,0
A,sergio,U,U,7,h,7,67,0
S,pepe,U,U,7,g,7,8,0
A,jojo,Y,Y,77,f,77,5,0
S,pepe,T,T,56,d,56,4,0
A,sergio,Y,Y,54,s,54,5,0
S,sergio,U,U,34,a,34,44,0
S,jojo,Y,Y,32,z,32,32,0
S,pepe,T,T,14,x,14,67,0
S,sergio,Y,Y,16,c,16,88,0
A,pepe,U,U,18,v,18,93,0
A,sergio,U,U,19,b,19,34,0
A,jojo,Y,Y,1,n,1,45,0
A,sergio,T,T,2,q,2,5,0
A,sergio,Y,Y,3,w,3,76,0
S,sergio,Y,Y,4,e,4,30,0
A,jojo,U,U,5,r,5,4,0
S,sergio,Y,Y,6,t,6,34,0
A,pepe,T,T,7,y,7,10,0
A,jojo,U,U,6,u,6,21,0
S,sergio,Y,Y,5,i,5,42,0
S,sergio,Y,Y,4,o,4,28,0
S,sergio,Y,Y,3,p,3,14,0
A,sergio,Y,Y,2,l,2,31,0
A,sergio,T,T,1,k,1,67,0
S,pepe,T,T,2,j,2,8,0
A,jojo,T,T,3,h,3,5,0
S,pepe,T,T,4,g,4,4,0
A,sergio,T,T,5,f,5,5,0
S,sergio,U,U,6,d,6,44,0
S,jojo,U,U,7,s,7,32,0
S,pepe,U,U,8,a,8,67,0
S,sergio,U,U,9,z,9,88,0
A,pepe,U,U,0,x,0,93,0
A,sergio,Y,Y,9,c,9,34,0
A,jojo,T,T,12,v,12,45,0
A,sergio,Y,Y,11,b,11,5,0
A,sergio,U,U,23,n,23,76,0
S,sergio,Y,Y,21,q,21,30,0
A,jojo,U,U,2,w,2,4,0
S,sergio,Y,Y,21,e,21,34,0
A,pepe,T,T,54,r,54,10,0
A,jojo,U,U,56,t,56,21,0
S,jojo,T,T,76,y,76,72,0
S,sergio,T,T,78,u,78,35,0
S,sergio,U,U,98,i,98,42,0
S,sergio,U,U,76,o,76,28,0
S,sergio,U,U,54,p,54,14,0
A,sergio,U,U,32,l,32,31,0
A,sergio,U,U,34,k,34,67,0
S,pepe,U,U,56,j,56,8,0
A,jojo,Y,Y,7,h,7,5,0
S,pepe,T,T,8,g,8,4,0
A,sergio,Y,Y,9,f,9,5,0
S,sergio,U,U,8,d,8,44,0
S,jojo,Y,Y,7,s,7,32,0
S,pepe,T,T,6,a,6,67,0
S,sergio,Y,Y,5,z,5,88,0
A,pepe,U,U,4,x,4,93,0
A,sergio,U,U,3,c,3,34,0
A,jojo,Y,Y,2,v,2,45,0
A,sergio,T,T,1,b,1,5,0
A,sergio,Y,Y,2,n,2,76,0
S,sergio,Y,Y,3,q,3,30,0
A,jojo,U,U,4,w,4,4,0
S,sergio,Y,Y,5,e,5,34,0
A,pepe,T,T,6,r,6,10,0
A,jojo,U,U,7,t,7,21,0
S,sergio,Y,Y,7,y,7,42,0
S,sergio,Y,Y,77,u,77,28,0
S,sergio,Y,Y,56,i,56,14,0
A,sergio,Y,Y,54,o,54,31,0
A,sergio,T,T,34,p,34,67,0
S,pepe,T,T,32,l,32,8,0
A,jojo,T,T,14,k,14,5,0
S,pepe,T,T,16,j,16,4,0
A,sergio,T,T,18,h,18,5,0
S,sergio,U,U,19,g,19,44,0
S,jojo,U,U,43,f,43,32,0
S,pepe,U,U,1,d,1,67,0
S,sergio,U,U,2,s,2,88,0
A,pepe,U,U,3,a,3,93,0
A,sergio,Y,Y,4,z,4,34,0
A,jojo,T,T,5,x,5,45,0
A,sergio,Y,Y,6,c,6,5,0
A,sergio,U,U,7,v,7,76,0
S,sergio,Y,Y,6,b,6,30,0
A,jojo,U,U,5,n,5,4,0
S,sergio,Y,Y,4,q,4,34,0
A,pepe,T,T,3,w,3,10,0
A,jojo,U,U,2,e,2,21,0
S,jojo,T,T,1,r,1,72,0
S,sergio,T,T,2,t,2,35,0
S,sergio,U,U,3,y,3,42,0
S,sergio,U,U,4,u,4,28,0
S,sergio,U,U,5,i,5,14,0
A,sergio,U,U,6,o,6,31,0
A,sergio,U,U,7,p,7,67,0
S,pepe,U,U,8,l,8,8,0
A,jojo,Y,Y,9,k,9,5,0
S,pepe,T,T,0,j,0,4,0
A,sergio,Y,Y,9,h,9,5,0
S,sergio,U,U,12,g,12,44,0
S,jojo,Y,Y,11,f,11,32,0
S,pepe,T,T,23,d,23,67,0
S,sergio,Y,Y,21,s,21,88,0
A,pepe,U,U,2,a,2,93,0
A,sergio,U,U,21,z,21,34,0
A,jojo,Y,Y,54,x,54,45,0
A,sergio,T,T,56,c,56,5,0
A,sergio,Y,Y,76,v,76,76,0
S,sergio,Y,Y,78,b,78,30,0
A,jojo,U,U,98,n,98,4,0
S,sergio,Y,Y,76,q,76,34,0
A,pepe,T,T,54,w,54,10,0
A,jojo,U,U,32,e,32,21,0
S,sergio,Y,Y,34,r,34,42,0
S,sergio,Y,Y,56,t,56,28,0
S,sergio,Y,Y,7,y,7,14,0
A,sergio,Y,Y,8,u,8,31,0
A,sergio,T,T,9,i,9,67,0
S,pepe,T,T,8,o,8,8,0
A,jojo,T,T,7,p,7,5,0
S,pepe,T,T,6,l,6,4,0
A,sergio,T,T,5,k,5,5,0
S,sergio,U,U,4,j,4,44,0
S,jojo,U,U,3,h,3,32,0
S,pepe,U,U,2,g,2,67,0
S,sergio,U,U,1,f,1,88,0
A,pepe,U,U,2,d,2,93,0
A,sergio,Y,Y,3,s,3,34,0
A,jojo,T,T,4,a,4,45,0
A,sergio,Y,Y,5,z,5,5,0
A,sergio,U,U,6,x,6,76,0
S,sergio,Y,Y,7,c,7,30,0
A,jojo,U,U,7,v,7,4,0
S,sergio,Y,Y,77,b,77,34,0
A,pepe,T,T,56,n,56,10,0
A,jojo,U,U,54,q,54,21,0
S,jojo,T,T,34,w,34,72,0
S,sergio,T,T,32,e,32,35,0
S,sergio,U,U,14,r,14,42,0
S,sergio,U,U,16,t,16,28,0
S,sergio,U,U,18,y,18,14,0
A,sergio,U,U,19,u,19,31,0
A,sergio,U,U,1,i,1,67,0
S,pepe,U,U,2,o,2,8,0
A,jojo,Y,Y,3,p,3,5,0
S,pepe,T,T,4,l,4,4,0
A,sergio,Y,Y,5,k,5,5,0
S,sergio,U,U,6,j,6,44,0
S,jojo,Y,Y,7,h,7,32,0
S,pepe,T,T,6,g,6,67,0
S,sergio,Y,Y,5,f,5,88,0
A,pepe,U,U,4,d,4,93,0
A,sergio,U,U,3,s,3,34,0
A,jojo,Y,Y,2,a,2,45,0
A,sergio,T,T,1,z,1,5,0
A,sergio,Y,Y,2,x,2,76,0
S,sergio,Y,Y,3,c,3,30,0
A,jojo,U,U,4,v,4,4,0
S,sergio,Y,Y,5,b,5,34,0
A,pepe,T,T,6,n,6,10,0
A,jojo,U,U,7,q,7,21,0
S,sergio,Y,Y,8,w,8,42,0
S,sergio,Y,Y,9,e,9,28,0
S,sergio,Y,Y,0,r,0,14,0
A,sergio,Y,Y,9,t,9,31,0
A,sergio,T,T,12,y,12,67,0
S,pepe,T,T,11,u,11,8,0
A,jojo,T,T,23,i,23,5,0
S,pepe,T,T,21,o,21,4,0
A,sergio,T,T,2,p,2,5,0
S,sergio,U,U,21,l,21,44,0
S,jojo,U,U,54,k,54,32,0
S,pepe,U,U,56,j,56,67,0
S,sergio,U,U,76,h,76,88,0
A,pepe,U,U,78,g,78,93,0
A,sergio,Y,Y,98,f,98,34,0
A,jojo,T,T,76,d,76,45,0
A,sergio,Y,Y,54,s,54,5,0
A,sergio,U,U,32,a,32,76,0
S,sergio,Y,Y,34,z,34,30,0
A,jojo,U,U,56,x,56,4,0
S,sergio,Y,Y,7,c,7,34,0
A,pepe,T,T,8,v,8,10,0
A,jojo,U,U,9,b,9,21,0
S,jojo,T,T,8,n,8,72,0
S,sergio,T,T,7,q,7,35,0
S,sergio,U,U,6,w,6,42,0
S,sergio,U,U,5,e,5,28,0
S,sergio,U,U,4,r,4,14,0
A,sergio,U,U,3,t,3,31,0
A,sergio,U,U,2,y,2,67,0
S,pepe,U,U,1,u,1,8,0
A,jojo,Y,Y,2,i,2,5,0
S,pepe,T,T,3,o,3,4,0
A,sergio,Y,Y,4,p,4,5,0
S,sergio,U,U,5,l,5,44,0
S,jojo,Y,Y,6,k,6,32,0
S,pepe,T,T,7,j,7,67,0
S,sergio,Y,Y,7,h,7,88,0
A,pepe,U,U,77,g,77,93,0
A,sergio,U,U,56,f,56,34,0
A,jojo,Y,Y,54,d,54,45,0
A,sergio,T,T,34,s,34,5,0
A,sergio,Y,Y,32,a,32,76,0
S,sergio,Y,Y,14,z,14,30,0
A,jojo,U,U,16,x,16,4,0
S,sergio,Y,Y,18,c,18,34,0
A,pepe,T,T,19,v,19,10,0
A,jojo,U,U,1,b,1,21,0
S,sergio,Y,Y,2,n,2,42,0
S,sergio,Y,Y,3,q,3,28,0
